Campaign,Ad Set Name,Audience,Exclude,Locations,Age,Gender,Placement,Daily Budget (VND),Optimization,Attribution,Pacing
GV_THPT_Sales_LionCamp_2026,GV_THPT_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Manual: FB Feed + IG Feed + Reels,49000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THPT_Sales_LionCamp_2026,GV_THPT_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Manual: FB Feed + IG Feed + Reels,61000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THPT_Quiz_LionCamp_2026,BT_THPT_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),184000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THPT_Quiz_LionCamp_2026,BT_THPT_Quiz_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),153000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THPT_Quiz_LionCamp_2026,BT_THPT_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),122000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THPT_Quiz_LionCamp_2026,BT_THPT_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),153000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THPT_VSL_LionCamp_2026,BT_THPT_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),110000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THPT_VSL_LionCamp_2026,BT_THPT_VSL_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),92000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THPT_VSL_LionCamp_2026,BT_THPT_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),74000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THPT_VSL_LionCamp_2026,BT_THPT_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Auto (Reels + Feed + Stories),92000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THPT_Sales_LionCamp_2026,BT_THPT_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Manual: FB Feed + IG Feed + Reels,74000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THPT_Sales_LionCamp_2026,BT_THPT_Sales_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Manual: FB Feed + IG Feed + Reels,61000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THPT_Sales_LionCamp_2026,BT_THPT_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Manual: FB Feed + IG Feed + Reels,49000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THPT_Sales_LionCamp_2026,BT_THPT_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",38-55,All,Manual: FB Feed + IG Feed + Reels,61000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THCS_Quiz_LionCamp_2026,GV_THCS_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),158000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THCS_Quiz_LionCamp_2026,GV_THCS_Quiz_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),131000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THCS_Quiz_LionCamp_2026,GV_THCS_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),105000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THCS_Quiz_LionCamp_2026,GV_THCS_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),131000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THCS_VSL_LionCamp_2026,GV_THCS_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),94000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THCS_VSL_LionCamp_2026,GV_THCS_VSL_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),79000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THCS_VSL_LionCamp_2026,GV_THCS_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),63000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THCS_VSL_LionCamp_2026,GV_THCS_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Auto (Reels + Feed + Stories),79000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THCS_Sales_LionCamp_2026,GV_THCS_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Manual: FB Feed + IG Feed + Reels,63000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THCS_Sales_LionCamp_2026,GV_THCS_Sales_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Manual: FB Feed + IG Feed + Reels,52000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THCS_Sales_LionCamp_2026,GV_THCS_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Manual: FB Feed + IG Feed + Reels,42000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THCS_Sales_LionCamp_2026,GV_THCS_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",32-50,All,Manual: FB Feed + IG Feed + Reels,52000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THCS_Quiz_LionCamp_2026,BT_THCS_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),158000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THCS_Quiz_LionCamp_2026,BT_THCS_Quiz_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),131000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THCS_Quiz_LionCamp_2026,BT_THCS_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),105000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THCS_Quiz_LionCamp_2026,BT_THCS_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),131000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_THCS_VSL_LionCamp_2026,BT_THCS_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),94000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THCS_VSL_LionCamp_2026,BT_THCS_VSL_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),79000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THCS_VSL_LionCamp_2026,BT_THCS_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),63000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THCS_VSL_LionCamp_2026,BT_THCS_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Auto (Reels + Feed + Stories),79000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_THCS_Sales_LionCamp_2026,BT_THCS_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Manual: FB Feed + IG Feed + Reels,63000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THCS_Sales_LionCamp_2026,BT_THCS_Sales_Interest,"Interest: Parenting + Education | Cha mẹ tuổi teen, Học thêm, IELTS Junior, Định hướng nghề",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Manual: FB Feed + IG Feed + Reels,52000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THCS_Sales_LionCamp_2026,BT_THCS_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Manual: FB Feed + IG Feed + Reels,42000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_THCS_Sales_LionCamp_2026,BT_THCS_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",32-50,All,Manual: FB Feed + IG Feed + Reels,52000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),110000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),92000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),74000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),92000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_TH_VSL_LionCamp_2026,GV_TH_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),66000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_TH_VSL_LionCamp_2026,GV_TH_VSL_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),55000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_TH_VSL_LionCamp_2026,GV_TH_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),44000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_TH_VSL_LionCamp_2026,GV_TH_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Auto (Reels + Feed + Stories),55000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_TH_Sales_LionCamp_2026,GV_TH_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Manual: FB Feed + IG Feed + Reels,44000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_TH_Sales_LionCamp_2026,GV_TH_Sales_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Manual: FB Feed + IG Feed + Reels,37000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_TH_Sales_LionCamp_2026,GV_TH_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Manual: FB Feed + IG Feed + Reels,29000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_TH_Sales_LionCamp_2026,GV_TH_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",28-42,All,Manual: FB Feed + IG Feed + Reels,37000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),110000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),92000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),74000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),92000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
BT_TH_VSL_LionCamp_2026,BT_TH_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),66000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_TH_VSL_LionCamp_2026,BT_TH_VSL_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),55000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_TH_VSL_LionCamp_2026,BT_TH_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),44000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_TH_VSL_LionCamp_2026,BT_TH_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Auto (Reels + Feed + Stories),55000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
BT_TH_Sales_LionCamp_2026,BT_TH_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Manual: FB Feed + IG Feed + Reels,44000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_TH_Sales_LionCamp_2026,BT_TH_Sales_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Manual: FB Feed + IG Feed + Reels,37000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_TH_Sales_LionCamp_2026,BT_TH_Sales_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Manual: FB Feed + IG Feed + Reels,29000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
BT_TH_Sales_LionCamp_2026,BT_TH_Sales_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Bình Tân + Bán kính 5km + Q6, Tân Phú, Bình Chánh",28-42,All,Manual: FB Feed + IG Feed + Reels,37000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),74000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),61000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),49000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),61000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
CL_TH_VSL_LionCamp_2026,CL_TH_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),44000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
CL_TH_VSL_LionCamp_2026,CL_TH_VSL_Interest,"Interest: Parenting + Education | Tiểu học, Trại hè, Phụ huynh, Tiếng Anh trẻ em, Kỹ năng sống",Existing Leads 90d + Customers 365d,"Cần Giuộc, Long An (toàn huyện) + Bán kính 8km",28-42,All,Auto (Reels + Feed + Stories),37000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
